,name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
241,eleonora-da-toledo,,Italian,362.0,492.0,0.3842014722253393,0.4668811307430963,0.2847135799924784
242,eleonora-da-toledo,,Italian,517.0,700.0,0.35867433263183507,0.38965302647680256,0.38898713218362785
243,eleonora-da-toledo,1562,Italian,1576.0,2122.0,0.5697402162053499,0.35499334037991126,0.42827617009668134
244,eleonora-da-toledo,1562,Italian,362.0,492.0,0.3842014722253393,0.4668811307430963,0.2847135799924784
245,eleonora-da-toledo,1562,Italian,517.0,700.0,0.35867433263183507,0.38965302647680256,0.38898713218362785
246,adoration-of-the-cross-with-the-brazen-serpent,,Italian,3176.0,2645.0,0.10357078346395963,0.33442780441972464,0.6995232470669651
247,moses-strikes-water-from-the-wall-rocks,,Italian,2024.0,2884.0,0.1542978266496917,0.4531642519581591,0.3236518479182607
248,scenes-of-allegories-of-the-cardinal-virtues,,Italian,2536.0,3120.0,0.0828557569419626,0.3293514011099462,0.5755693929982417
249,scenes-of-allegories-of-the-cardinal-virtues-1,,Italian,2536.0,3089.0,0.08687216735380494,0.3612757713838365,0.5628730033760806
250,stigmatization-of-st-francis,,Italian,2536.0,3100.0,0.2033967296767191,0.293292026027323,0.5773260365100567
251,christ-on-the-cross,,Italian,469.0,590.0,0.7086965884442419,0.3919515862564148,0.19420311914292654
252,deposition-from-the-cross,1545,Italian,2024.0,3241.0,0.23526284896453015,0.2497154033582799,0.5537838704062538
253,deposition-from-the-cross,1545,Italian,759.0,1001.0,0.3943440269825248,0.362777749906084,0.41966357804534976
