name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
portrait-of-an-unknown-man,1811,Russian,597,715,0.1143619755362179,0.5829584405961259,0.28278615069037777
portrait-of-an-unknown-man,1811,Russian,728,866,0.6363377982260904,0.2643819664284964,0.34212954945701857
portrait-of-an-unknown-man,1811,Russian,761,884,0.4429143275289943,0.4936912543555261,0.3758954725598506
portrait-of-an-unknown-man,,Russian,597,715,0.1143619755362179,0.5829584405961259,0.28278615069037777
portrait-of-an-unknown-man,,Russian,728,866,0.6363377982260904,0.2643819664284964,0.34212954945701857
portrait-of-an-unknown-man,,Russian,761,884,0.4429143275289943,0.4936912543555261,0.3758954725598506
portrait-of-e-i-molchanova,1776,Russian,3236,4242,0.19380533085068163,0.4907451325451323,0.3714856921077634
natalia-borshchova,1776,Russian,1300,1954,0.20576637878704782,0.360212596673382,0.2114456079573787
russian-general-mikhail-krechetnikov,1778,Russian,1161,1476,0.18078434771180626,0.2613763470605539,0.18819139022316894
portrait-of-maria-dyakova,1778,Russian,3264,4000,0.0818920183685091,0.20855144763353803,0.2426536109909649
portrait-of-g-k-levitzky-artist-s-father,1779,Russian,561,722,0.2624487408300074,0.46993624709825754,0.19395112837971487
portrait-of-prince-alexander-prozorovskiy,1779,Russian,600,745,0.3459537183188096,0.2589933808783293,0.2370150633855332
alexander-lanskoy,1780,Russian,427,550,0.48506957061683864,0.3819526195286319,0.2656778502757288
portrait-of-director-of-capella-mark-fedorovich-poltoratsky,1780,Russian,1034,1301,0.08949750637051221,0.811022906634529,0.3167981475458444
alexander-khrapovitsky,1781,Russian,939,1244,0.2536831623796879,0.5475396169802175,0.23285832678852253
portrait-of-maria-alexeevna-lvova,1781,Russian,1400,1764,0.20130980628190254,0.21548577829253018,0.28078113308815605
portrait-of-praskovia-repnina,1781,Russian,700,900,0.08782557752892516,0.28715432607931063,0.3214166448801743
prince-mikhail-shcherbatov,1781,Russian,390,550,0.7169967789993923,0.20190053420836096,0.22989708853238267
catherine-ii,1782,Russian,452,550,0.13669177801120372,0.19212418186020863,0.2013218178663259
catherine-ii,1782,Russian,457,550,0.21041492492128172,0.33768562777804073,0.2542113684144834
catherine-ii,,Russian,452,550,0.13669177801120372,0.19212418186020863,0.2013218178663259
catherine-ii,,Russian,457,550,0.21041492492128172,0.33768562777804073,0.2542113684144834
ekaterina-orlova,,Russian,425,550,0.5057327721923349,0.07107637123193118,0.44991040369088814
portrait-of-alexander-lanskoy-aide-de-camp-to-the-empress,1782,Russian,698,900,0.10812363413450095,0.3980980666154246,0.4647375882540216
